Trace: /tmp/codex-ios-ettrace.petrichor.30ycpe/run-clean-20260809-042344.wJ9bHy/output_259.json
Total duration:     23.668659
  0.005714    0.24%active initializeWithCopy for ClosedRange<>.Index
  0.005713    0.24%active outlined init with copy of AccessibilityAttachmentStorage
  0.005712    0.24%active specialized ShapeStyledDisplayList.updateValue()
  0.005711    0.24%active objc_storeStrong
  0.005711    0.24%active AG::LayoutDescriptor::Compare::Enum::Enum(AG::swift::metadata const*, AG::LayoutDescriptor::Compare::Enum::Mode, unsigned int, unsigned long, unsigned char const*, unsigned char const*, unsigned char*, unsigned char*, bool)
  0.005710    0.24%active validateUTF8(_:)
  0.005710    0.24%active _os_nospin_lock_unlock_slow
  0.005708    0.24%active aa_new_edge
  0.005704    0.24%active CA::Layer::collect_layers_(CA::Layer::CollectLayersData*)
  0.005704    0.24%active NavigationState.StackContent.Views.ViewsSequence.view(at:state:baseDepth:)
  0.005703    0.24%active _platform_strncmp
  0.005703    0.24%active CA::Render::Path::encode(CA::Render::Encoder*) const
  0.005703    0.24%active mach_voucher_extract_attr_content
  0.005703    0.24%active ____NSDictionaryI_new_block_invoke

Top focused inclusive frames
  0.371702   15.52%active AVQueuePlayerBackend.publishNowPlaying()
  0.015999    0.67%active protocol witness for PlaybackBackend.setNowPlayingMetadata(_:) in conformance AVQueuePlayerBackend
  0.015999    0.67%active PlaybackManager.setNowPlayingMetadata(for:artworkData:)
  0.015999    0.67%active PlaybackManager.publishNowPlayingMetadata(for:)
  0.015999    0.67%active PlaybackEngine.setNowPlayingMetadata(_:)
  0.015999    0.67%active AVQueuePlayerBackend.setNowPlayingMetadata(_:)
  0.015999    0.67%active AVQueuePlayerBackend.applyNowPlayingMetadata(_:)
  0.010575    0.44%active PlayerTransport.hasTrack.getter
  0.005793    0.24%active static PlaceholderContentView._makeView(view:inputs:)
  0.005719    0.24%active protocol witness for View.body.getter in conformance PlayerScrubber
  0.005719    0.24%active PlayerScrubber.body.getter
  0.005715    0.24%active closure #1 in NowPlayingPresentationLayer.body.getter
  0.005715    0.24%active NowPlayingPresentationLayer.verticalOffset(in:)
  0.005288    0.22%active protocol witness for View.body.getter in conformance PlayerTransport
  0.005288    0.22%active closure #1 in closure #1 in PlayerTransport.body.getter
  0.005288    0.22%active closure #1 in PlayerTransport.body.getter
  0.005288    0.22%active PlayerTransport.transportButton(_:size:action:)
  0.005288    0.22%active PlayerTransport.body.getter
  0.000000    0.00%active [MPNowPlayingInfoCenter(NowPlayingInfo) _onQueue_pushNowPlayingInfoAndRetry:]_block_invoke.25
